year,title,pdf_name
2002,Fast Kernels for String and Tree Matching,2272-fast-kernels-for-string-and-tree-matching.pdf
2002,Hyperkernels,2193-hyperkernels.pdf
2002,Linear Combinations of Optic Flow Vectors for Estimating Self-Motion - a Real-World Test of a Neural Model,2247-linear-combinations-of-optic-flow-vectors-for-estimating-self-motion-a-real-world-test-of-a-neural-model.pdf
2001,A New Discriminative Kernel From Probabilistic Models,2014-a-new-discriminative-kernel-from-probabilistic-models.pdf
2001,Algorithmic Luckiness,2105-algorithmic-luckiness.pdf
2001,On the Convergence of Leveraging,1963-on-the-convergence-of-leveraging.pdf
2001,Online Learning with Kernels,2128-online-learning-with-kernels.pdf
2001,Rao-Blackwellised Particle Filtering via Data Augmentation,2066-rao-blackwellised-particle-filtering-via-data-augmentation.pdf
2001,Variance Reduction Techniques for Gradient Estimates in Reinforcement Learning,2052-variance-reduction-techniques-for-gradient-estimates-in-reinforcement-learning.pdf
2000,From Margin to Sparsity,1870-from-margin-to-sparsity.pdf
2000,Regularization with Dot-Product Kernels,1790-regularization-with-dot-product-kernels.pdf
2000,Sparse Greedy Gaussian Process Regression,1880-sparse-greedy-gaussian-process-regression.pdf
2000,Sparsity of Data Representation of Optimal Kernel Machine and Leave-one-out Estimator,1868-sparsity-of-data-representation-of-optimal-kernel-machine-and-leave-one-out-estimator.pdf
1999,A Geometric Interpretation of v-SVM Classifiers,1687-a-geometric-interpretation-of-v-svm-classifiers.pdf
1999,An Analog VLSI Model of Periodicity Extraction,1781-an-analog-vlsi-model-of-periodicity-extraction.pdf
1999,Boosting Algorithms as Gradient Descent,1766-boosting-algorithms-as-gradient-descent.pdf
1999,Evolving Learnable Languages,1782-evolving-learnable-languages.pdf
1999,Neural System Model of Human Sound Localization,1734-neural-system-model-of-human-sound-localization.pdf
1999,Spectral Cues in Human Sound Localization,1731-spectral-cues-in-human-sound-localization.pdf
1999,Support Vector Method for Novelty Detection,1723-support-vector-method-for-novelty-detection.pdf
1999,The Entropy Regularization Information Criterion,1677-the-entropy-regularization-information-criterion.pdf
1999,Uniqueness of the SVM Solution,1735-uniqueness-of-the-svm-solution.pdf
1999,v-Arc: Ensemble Learning in the Presence of Outliers,1721-v-arc-ensemble-learning-in-the-presence-of-outliers.pdf
1998,A Micropower CMOS Adaptive Amplitude and Shift Invariant Vector Quantiser,1558-a-micropower-cmos-adaptive-amplitude-and-shift-invariant-vector-quantiser.pdf
1998,Almost Linear VC Dimension Bounds for Piecewise Polynomial Networks,1515-almost-linear-vc-dimension-bounds-for-piecewise-polynomial-networks.pdf
1998,Direct Optimization of Margins Improves Generalization in Combined Classifiers,1553-direct-optimization-of-margins-improves-generalization-in-combined-classifiers.pdf
1998,Shrinking the Tube: A New Support Vector Regression Algorithm,1563-shrinking-the-tube-a-new-support-vector-regression-algorithm.pdf
1997,Comparison of Human and Machine Word Recognition,1393-comparison-of-human-and-machine-word-recognition.pdf
1997,Generalization in Decision Trees and DNF: Does Size Matter?,1340-generalization-in-decision-trees-and-dnf-does-size-matter.pdf
1997,Recurrent Neural Networks Can Learn to Implement Symbol-Sensitive Counting,1361-recurrent-neural-networks-can-learn-to-implement-symbol-sensitive-counting.pdf
1997,The Canonical Distortion Measure in Feature Space and 1-NN Classification,1357-the-canonical-distortion-measure-in-feature-space-and-1-nn-classification.pdf
1996,For Valid Generalization the Size of the Weights is More Important than the Size of the Network,1204-for-valid-generalization-the-size-of-the-weights-is-more-important-than-the-size-of-the-network.pdf
1996,Interpolating Earth-science Data using RBF Networks and Mixtures of Experts,1313-interpolating-earth-science-data-using-rbf-networks-and-mixtures-of-experts.pdf
1996,MLP Can Provably Generalize Much Better than VC-bounds Indicate,1219-mlp-can-provably-generalize-much-better-than-vc-bounds-indicate.pdf
1995,A Novel Channel Selection System in Cochlear Implants Using Artificial Neural Network,1159-a-novel-channel-selection-system-in-cochlear-implants-using-artificial-neural-network.pdf
1995,Examples of learning curves from a modified VC-formalism,1086-examples-of-learning-curves-from-a-modified-vc-formalism.pdf
1995,Experiments with Neural Networks for Real Time Implementation of Control,1162-experiments-with-neural-networks-for-real-time-implementation-of-control.pdf
1995,Family Discovery,1050-family-discovery.pdf
1995,The Gamma MLP for Speech Phoneme Recognition,1021-the-gamma-mlp-for-speech-phoneme-recognition.pdf
1994,A Comparison of Discrete-Time Operator Models for Nonlinear System Identification,885-a-comparison-of-discrete-time-operator-models-for-nonlinear-system-identification.pdf
1994,Generalisation in Feedforward Networks,913-generalisation-in-feedforward-networks.pdf
1994,ICEG Morphology Classification using an Analogue VLSI Neural Network,1004-iceg-morphology-classification-using-an-analogue-vlsi-neural-network.pdf
